EntityInfo,实体信息,E,1000,0,
EntityOtf,动态实体,E,200,0,
EntityColumn,列重写,E,1000,0,
Formula,公式定义,E,1000,0,
Group,用户组,E,1000,3,
Principal,安全主体,E,3000,10,
Role,安全角色,E,1000,3,
UserCategory,用户分类,E,300,0,
UserCategoryItem,用户分类项目,E,10000,0,
UserEmail,用户邮件地址,E,3000,3,
UserOption,用户选项,E,10000,0,
UserPreference,用户配置项,E,100000,0,
User,用户,E,10,0,
