1:资产:Assets
11~12:流动资产:Current Assets
111:现金及约当现金:Cash And Cash Equivalents
1111:库存现金:Cash On Hand
1112:零用金/周转金:Petty Cash/Revolving Funds
1113:银行存款:Cash In Banks
1116:在途现金:Cash In Transit
1117:约当现金:Cash Equivalents
1118:其它现金及 约当现金:Other Cash And Cash Equivalents
112:短期投资:Short-Term Investments
1121:短期投资 - 股票:Short-Term Investments - Stock
1122:短期投资 - 短期票券:Short-Term Investments - Short-Term Notes And Bills
1123:短期投资 - 政府债券:Short-Term Investments - Government Bonds
1124:短期投资 - 受益凭证:Short-Term Investments - Beneficiary Certificates
1125:短期投资 - 公司债:Short-Term Investments - Corporate Bonds
1128:短期投资 - 其它:Short-Term Investments - Other
1129:备抵短期投资跌价损失:Allowance For Reduction Of Short-Term Investment To Market
113:应收票据:Notes Receivable
1131:应收票据:Notes Receivable
1132:应收票据贴现:Discounted Notes Receivable
1137:应收票据 - 关系人:Notes Receivable - Related Parties
1138:其它应收票据:Other Notes Receivable
1139:备抵呆帐 －应收票据:Allowance For Uncollec - Tible Accounts - Notes Receivable
114:应收帐款:Accounts Receivable
1141:应收帐款:Accounts Receivable
1142:应收分期帐款:Installment Accounts Receivable
1147:应收帐款 - 关系人:Accounts Receivable - Related Parties
1149:备抵呆帐 －应收帐款:Allowance For Uncollec - Tible Accounts - Accounts Receivable
118:其它应收款:Other Receivables
1181:应收出售远汇款:Forward Exchange Contract Receivable
1182:应收远汇款 - 外币:Forward Exchange Contract Receivable - Foreign Currencies
1183:买卖远汇折价:Discount On Forward Ex-Change Contract
1184:应收收益:Earned Revenue Receivable
1185:应收退税款:Income Tax Refund Receivable
1187:其它应收款 - 关系人:Other Receivables - Related Parties
1188:其它应收款 - 其它:Other Receivables - Other
1189:备抵呆帐 - 其它应收款:Allowance For Uncollec - Tible Accounts - Other Receivables
121~122:存货:Inventories
1211:商品存货:Merchandise Inventory
1212:寄销商品:Consigned Goods
1213:在途商品:Goods In Transit
1219:备抵存货跌价损失:Allowance For Reduction Of Inventory To Market
1221:制成品:Finished Goods
1222:寄销制成品:Consigned Finished Goods
1223:副产品:By-Products
1224:在制品:Work In Process
1225:委外加工:Work In Process - Outsourced
1226:原料:Raw Materials
1227:物料:Supplies
1228:在途原物料:Materials And Supplies In Transit
1229:备抵存货跌价损失:Allowance For Reduction Of Inventory To Market
125:预付费用:Prepaid Expenses
1251:预付薪资:Prepaid Payroll
1252:预付租金:Prepaid Rents
1253:预付保险费:Prepaid Insurance
1254:用品盘存:Office Supplies
1255:预付所得税:Prepaid Income Tax
1258:其它预付费用:Other Prepaid Expenses
126:预付款项:Prepayments
1261:预付货款:Prepayment For Purchases
1268:其它预付款项:Other Prepayments
128~129:其它流动资产:Other Current Assets
1281:进项税额 VAT:Paid ( Or Input Tax)
1282:留抵税额:Excess VAT Paid (Or Overpaid VAT)
1283:暂付款:Temporary Payments
1284:代付款:Payment On Behalf Of Others
1285:员工借支:Advances To Employees
1286:存出保证金:Refundable Deposits
1287:受限制存款:Certificate Of Deposit-Restricted
1291:递延所得税资产:Deferred Income Tax Assets
1292:递延兑换损失:Deferred Foreign Exchange Losses
1293:业主(股东)往来:Owners'(Stockholders') Current Account
1294:同业往来:Current Account With Others
1298:其它流动资产-其它:Other Current Assets - Other
13:基金及长期投资:Funds And Long-Term Investments
131:基金:Funds
1311:偿债基金:Redemption Fund (Or Sinking Fund)
1312:改良及扩充基金:Fund For Improvement And Expansion
1313:意外损失准备基金:Contingency Fund
1314:退休基金:Pension Fund
1318:其它基金:Other Funds
132:长期投资:Long-Term Investments
1321:长期股权投资:Long-Term Equity Investments
1322:长期债券投资:Long-Term Bond Investments
1323:长期不动产投资:Long-Term Real Estate In-Vestments
1324:人寿保险现金解约价值:Cash Surrender Value Of Life Insurance
1328:其它长期投资:Other Long-Term Investments
1329:备抵长期投资跌价损失:Allowance For Excess Of Cost Over Market Value Of Long-Term Investments
14~15:固定资产:Property, Plant, And Equipment
141:土地:Land
1411:土地:Land
1418:土地-重估增值:Land - Revaluation Increments
142:土地改良物:Land Improvements
1421:土地改良物:Land Improvements
1428:土地改良物 - 重估增值:Land Improvements - Revaluation Increments
1429:累积折旧 - 土地改良物:Accumulated Depreciation - Land Improvements
143:房屋及建物:Buildings
1431:房屋及建物:Buildings
1438:房屋及建物 - 重估增值:Buildings - Revaluation Increments
1439:累积折旧 - 房屋及建物:Accumulated Depreciation - Buildings
144~146:机(器)具及设备:Machinery And Equipment
1441:机(器)具:Machinery
1448:机(器)具 - 重估增值:Machinery - Revaluation Increments
1449:累积折旧 - 机(器)具:Accumulated Depreciation - Machinery
151:租赁资产:Leased Assets
1511:租赁资产:Leased Assets
1519:累积折旧 - 租赁资产:Accumulated Depreciation - Leased Assets
152:租赁权益改良:Leasehold Improvements
1521:租赁权益改良:Leasehold Improvements
1529:累积折旧 - 租赁权益改良:Accumulated Depreciation - Leasehold Improvements
156:未完工程及预付购置设备款:Construction In Progress And Prepayments For Equipment
1561:未完工程:Construction In Progress
1562:预付购置设备款:Prepayment For Equipment
158:杂项固定资产:Miscellaneous Property, Plant, And Equipment
1581:杂项固定资产:Miscellaneous Property, Plant, And Equipment
1588:杂项固定资产-重估增值:Miscellaneous Property, Plant, And Equipment - Revaluation Increments
1589:累积折旧 - 杂项固定资产:Accumulated Depreciation - Miscellaneous Property, Plant, And Equipment
16:递耗资产:Depletable Assets
161:递耗资产:Depletable Assets
1611:天然资源:Natural Resources
1618:天然资源 - 重估增值:Natural Resources - Revaluation Increments
1619:累积折耗 - 天然资源:Accumulated Depletion - Natural Resources
17:无形资产:Intangible Assets
171:商标权:Trademarks
1711:商标权:Trademarks
172:专利权:Patents
1721:专利权:Patents
173:特许权:Franchise
1731:特许权:Franchise
174:著作权:Copyright
1741:著作权:Copyright
175:计算机软件:Computer Software
1751:计算机软件:Computer Software Cost
176:商誉:Goodwill
1761:商誉:Goodwill
177:开办费:Organization Costs
1771:开办费:Organization Costs
178:其它无形资产:Other Intangibles
1781:递延退休金成本:Deferred Pension Costs
1782:租赁权益改良:Leasehold Improvements
1788:其它无形资产-其它:Other Intangible Assets - Other
18:其它资产:Other Assets
181:递延资产:Deferred Assets
1811:债券发行成本:Deferred Bond Issuance Costs
1812:长期预付租金:Long-Term Prepaid Rent
1813:长期预付保险费:Long-Term Prepaid Insurance
1814:递延所得税资产:Deferred Income Tax Assets
1815:预付退休金:Prepaid Pension Cost
1818:其它递延资产:Other Deferred Assets
182:闲置资产:Idle Assets
1821:闲置资产:Idle Assets
184:长期应收票据及款项与催收帐款:Long-Term Notes, Accounts And Overdue Receivables
1841:长期应收票据:Long-Term Notes Receivable
1842:长期应收帐款:Long-Term Accounts Receivable
1843:催收帐款:Overdue Receivables
1847:长期应收票据及款项与催收帐款-关系人:Long-Term Notes, Accounts And Overdue Receivables - Related Parties
1848:其它长期应收款项:Other Long-Term Receivables
1849:备抵呆帐-长期应收票据及款项与催收帐款:Allowance For Uncollectible Accounts - Long-Term Notes, Accounts And Overdue Receivables
185:出租资产:Assets Leased To Others
1851:出租资产:Assets Leased To Others
1858:出租资产 - 重估增值:Assets Leased To Others - Incremental Value From Revaluation
1859:累积折旧 - 出租资产:Accumulated Depreciation - Assets Leased To Others
186:存出保证金:Refundable Deposit
1861:存出保证金:Refundable Deposits
188:杂项资产:Miscellaneous Assets
1881:受限制存款:Certificate Of Deposit - Restricted
1888:杂项资产 - 其它:Miscellaneous Assets - Other
2:负债:Liabilities
21~22:流动负债:Current Liabilities
211:短期借款:Short-Term Borrowings(Debt)
2111:银行透支:Bank Overdraft
2112:银行借款:Bank Loan
2114:短期借款 - 业主:Short-Term Borrowings - Owners
2115:短期借款 - 员工:Short-Term Borrowings - Employees
2117:短期借款 - 关系人:Short-Term Borrowings - Related Parties
2118:短期借款 - 其它:Short-Term Borrowings - Other
212:应付短期票券:Short-Term Notes And Bills Payable
2121:应付商业本票:Commercial Paper Payable
2122:银行承兑汇票:Bank Acceptance
2128:其它应付短期票券:Other Short-Term Notes And Bills Payable
2129:应付短期票券折价:Discount On Short-Term Notes And Bills Payable
213:应付票据:Notes Payable
2131:应付票据:Notes Payable
2137:应付票据 - 关系人:Notes Payable - Related Parties
2138:其它应付票据:Other Notes Payable
214:应付帐款:Accounts Pay Able
2141:应付帐款:Accounts Payable
2147:应付帐款 - 关系人:Accounts Payable - Related Parties
216:应付所得税:Income Taxes Payable
2161:应付所得税:Income Tax Payable
217:应付费用:Accrued Expenses
2171:应付薪工:Accrued Payroll
2172:应付租金:Accrued Rent Payable
2173:应付利息:Accrued Interest Payable
2174:应付营业税:Accrued VAT Payable
2175:应付税捐 - 其它:Accrued Taxes Payable - Other
2178:其它应付费用:Other Accrued Expenses Payable
218~219:其它应付款:Other Payables
2181:应付购入远汇款:Forward Exchange Contract Payable
2182:应付远汇款 - 外币:Forward Exchange Contract Payable - Foreign Currencies
2183:买卖远汇溢价:Premium On Forward Exchange Contract
2184:应付土地房屋款:Payables On Land And Building Purchased
2185:应付设备款 P:Ayables On Equipment
2187:其它应付款 - 关系人:Other Payables - Related Parties
2191:应付股利:Dividend Payable
2192:应付红利:Bonus Payable
2193:应付董监事酬劳:Compensation Payable To Directors And Supervisors
2198:其它应付款 - 其它:Other Payables - Other
226:预收款项:Advance Receipts
2261:预收货款:Sales Revenue Received In Advance
2262:预收收入:Revenue Received In Advance
2268:其它预收款:Other Advance Receipts
227:一年或一营业周期内到期长期负债:Long-Term Liabilities - Current Portion
2271:一年或一营业周期内到期公司债:Corporate Bonds Payable - Current Portion
2272:一年或一营业周期内到期长期借款:Long-Term Loans Payable - Current Portion
2273:一年或一营业周期内到期长期应付票据及款项:Long-Term Notes And Accounts Payable Due Within One Year Or One Operating Cycle
2277:一年或一营业周期内到期长期应付票据及款项-关系人:Long-Term Notes And Accounts Payables To Related Parties - Current Portion
2278:其它一年或一营业周期内到期长期负债:Other Long-Term Lia - Bilities - Current Portion
228~229:其它流动负债:Other Current Liabilities
2281:销项税额 VAT:Received(Or Output Tax)
2283:暂收款:Temporary Receipts
2284:代收款:Receipts Under Custody
2285:估计售后服务/保固负债:Estimated Warranty Liabilities
2291:递延所得税负债:Deferred Income Tax Liabilities
2292:递延兑换利益:Deferred Foreign Exchange Gain
2293:业主(股东)往来:Owners' Current Account
2294:同业往来:Current Account With Others
2298:其它流动负债-其它:Other Current Liabilities - Others
23:长期负债:Long-Term Liabilities
231:应付公司债:Corporate Bonds Payable
2311:应付公司债:Corporate Bonds Payable
2319:应付公司债溢(折)价:Premium(Discount) On Corporate Bonds Payable
232:长期借款:Long-Term Loans Payable
2321:长期银行借款:Long-Term Loans Payable - Bank
2324:长期借款 - 业主:Long-Term Loans Payable - Owners
2325:长期借款 - 员工:Long-Term Loans Payable - Employees
2327:长期借款 - 关系人:Long-Term Loans Payable - Related Parties
2328:长期借款 - 其它:Long-Term Loans Payable - Other
233:长期应付票据及款项:Long-Term Notes And Accounts Payable
2331:长期应付票据:Long-Term Notes Payable
2332:长期应付帐款:Long-Term Accounts Pay-Able
2333:长期应付租赁负债:Long-Term Capital Lease Liabilities
2337:长期应付票据及款项 - 关系人 L:Ong-Term Notes And Accounts Payable - Related Parties
2338:其它长期应付款项:Other Long-Term Payables
234:估计应付土地增值税:Accrued Liabilities For Land Value Increment Tax
2341:估计应付土地增值税:Estimated Accrued Land Value Incremental Tax Pay-Able
235:应计退休金负债:Accrued Pension Liabilities
2351:应计退休金负债:Accrued Pension Liabilities
238:其它长期负债:Other Long-Term Liabilities
2388:其它长期负债-其它:Other Long-Term Liabilities - Other
28:其它负债:Other Liabilities
281:递延负债:Deferred Liabilities
2811:递延收入:Deferred Revenue
2814:递延所得税负债:Deferred Income Tax Liabilities
